path,status,sha256,previous_public_sha256
.gitignore,changed,3271e631de8b52a542fc05a16520d7d36461dc94f6d7d52d348c3c93e52a0d81,d55f2e0d038761b3ba91e9dc32ab18bc4332c3e8144be61af2b370670ef6af05
benchmark/exact_p30/reference/coefficient_densities.npz,added,2f4348cd69911c4d1de0496fc45de23cca2543921761ec175583026b7801ebd7,
benchmark/exact_p30/reference/exact_benchmark_metadata.json,added,73097c840470d791eff7302c8a00300c35d5ff9c8bb90bf141c2ce6e6f4b7790,
benchmark/exact_p30/reference/exact_frontiers.csv,added,bb8fe753d5c4773a23bd636c58a88c6759f62795eddb2aca2a5e259f99c6f6af,
benchmark/exact_p30/reference/exact_global_pips.csv,added,2ebdcdc08a5e33bbe3cba6348ee9508874fbacf311d85c1078b984a3b7fa308d,
benchmark/exact_p30/reference/exact_map.json,added,0570ddf4fb1f5324d70e4c5faeced4d88b3adf403e537535146f8e0647db499a,
benchmark/exact_p30/reference/exact_model_size_distribution.csv,added,0b11c9e9dcfd46b5b5a433a5e792ba6f8e8d8d6d50abfe8fe41aaccaf52836a2,
benchmark/exact_p30/reference/exact_shell_histograms.npz,added,ee0ef9f082ff508864b7a79040330c56d9c31cbc58bfdfc36d7f978f4d0a923f,
benchmark/exact_p30/reference/exact_top10000_models.csv,added,0f45acb1f8d53606792d57768d458d0587eae7a4ada9bfd6780e514e086e9089,
benchmark/exact_p30/reference/exact_top100_models.csv,added,d3a1390d57f198ce0859f9c4ba627c898cda7f8141612daa2edb709b048b7af0,
benchmark/exact_p30/reference/exact_top10_models.csv,added,e0d71df90ccbc3ac43e4f7175066bd16ef6346b2169a893b3dab3d40c3b88187,
benchmark/exact_p30/reference/exact_top5_ols_coefficients.csv,added,ed5e357d99f3902d23c9f97759500426552e69fa55b72dc134629f6c53320856,
benchmark/exact_p30/reference/exact_top5_regression_comparison.tex,added,3b500861ff4f882c7ba829dccb716e1b84bd660c6acf453bd6eac272f484760d,
benchmark/exact_p30/reference/exact_top5_regression_diagnostics.csv,added,25db84dbd2ed5416b5b5ae8a3d022260b26743bed11bb886faeefc5cea27b155,
benchmark/exact_p30/reference/exact_true_model.json,added,e05f6cc9d34a0f73a9d464066edd5aa8177a8086608b5c008769f8bc869f9851,
benchmark/exact_p30/reference/exhaustive_reticular_summary.csv,added,96bb4b520417c383194beb144083598aa75504ec5d36cbb12f5d02f1900bfbf5,
benchmark/exact_p30/reference/model_sign_display.json,added,66772b5ae8149b71a702c3c462bd1616fa11cf32413619787d4fa0d19b97d17e,
benchmark/exact_p30/reference/predictor_correlations.csv,added,65fabaedd8ae0682431a6aed5a1b03977a2092bb1cfce73de830ab25ec30de5a,
benchmark/exact_p30/reference/REFERENCE_MANIFEST.json,added,25425f071e4bb29063506709af284c9303f5ba180b3b231f0816b361f4a4e5b9,
benchmark/exact_p30/reference/REFERENCE_MANIFEST.sha256,added,0ebf5ece66c4ff872a803fd18a9e972fd6bb1681153263a7670d07fbd9224238,
benchmark/fixtures.json,changed,4c4f439f5c7b879aa385aa8980f3dba4b8fb848aa86ef6bd280b95985df5957c,377b73841c5000a5c515559d841662e33acca1925f3c13994523c401adb7ead1
benchmark/recorded/closure_claims.csv,changed,9f7d602489443b03bfdecd2a844440c10dff837368995f166e1dd2790b9724ac,6c4461856bae740eacfcecd662b5a11e4fe1e29f9689961ba3fd191afc6b0db5
benchmark/recorded/scaling_discovery.csv,changed,c64dd134d80d2c92359a09cd265ec69ed6b32de0d27ea84514479576de7bb771,efd9a3bd3ec2382045ae9128bd326d9db3420fcddfa0d301988856b6e9352710
benchmark/recorded/source_inventory.json,changed,8f3c62de7dd5e64ee7f74b6e9ac37cefba96c282614741c99b8f0041fa49fbc1,7090216da8c240d093befc9b7cb06ca576d5b4f1fd888cbf58d29289c07de694
benchmark/shell_recovery/BFG_RANDOM_RECOVERY_TIMING_COMPARISON.csv,added,a8b3c423a8446f839885985350462aaff3ecb769d219b3e454efa54512ad1953,
benchmark/shell_recovery/POST_BFG_RANDOM_SHELL_COUNTS.csv,added,a5b648a49c34926242798cf8daea73cd1faa56a3d3ea5450d9051e0f562047d4,
benchmark/shell_recovery/RANDOM_SHELL_CAP_SENSITIVITY.csv,added,965f5ace1f93bef26b2132af58689d46a9bccc6c48926a250ebae69470284034,
benchmark/shell_recovery/RANDOM_SHELL_CAP_SENSITIVITY_BY_SHELL.csv,added,094b212db4b1f1bfa8659ddc087b677590565de92bb0cec5d8b9f7c06da8746a,
benchmark/shell_recovery/README.md,added,5ce562a0a62ec4144b086ffc531855b98657c93e9e4915f44fff203c2ccc7318,
benchmark/shell_recovery/RECONSTRUCTED_HISTOGRAMS.npz,added,e2dfa11666909157a9a09a785efb8bd78ff4838d0e312dd161d616752f7d9bb7,
CHANGELOG.md,changed,100af0f7a00820f1995e403ea870ac99e5bf7e3b0145e6159f8ad4edc57c008d,2b28c57bac9b59847b9f2ec323151e6596cec9208e00788ce0ab295267c0f428
docs/evidence/source_hashes.json,changed,ed01dff87861d75fb58f5155300d391ffbf13997554c81519581d447280bf4aa,dd21e85f50360c951538fea3253c731341a78c53d7b132871044611b69519cf3
docs/exact_p30_reference.md,added,ef1ee7a57a878942ec57209e718a279a336aed66ae5e8248bd3333332262190e,
docs/random_shell_recovery.md,added,b7d69a6bb8618686645ba6ad1edaff734b4aba647dd3aea4053585bbc76a6aa4,
EXAMPLE_INVENTORY.md,added,0b8e3d467b8c651406ee02f9be73e98a4bfaf5442e8d01e50736323ba7378436,
examples/BFG_Canonical_p30_Shell_Recovery.ipynb,added,d36e0fd49e80d6a78f2194c629cfe6a464c6feb02b660039c34b891da1022b84,
examples/Exact_BMA_Canonical_p30_Figures.ipynb,added,388c05e065a97cf297ec19d572f373a26a8f9d28655950a9952d439203733763,
examples/exact_reference_figures.py,added,60096dcba41bd201d653c79c273c953838c553794816adb534ce5dc749447583,
examples/exact_reference_workflow.py,added,fac9f53df32da7056a8aa39f41d0e4ee9a083cee8e713c30950e22e0e1f8c78d,
examples/README.md,changed,f7f77d27889e4e4b97456a880f88687be822bd36913334e561e346c5fb17eb58,7851d220bacefb35d3ae2ed5430432b2c59b5bddf936637c5210373a40c143a2
examples/shell_recovery_figures.py,added,eef2beed41e01f767d37f68d64b87f516c7c100d999e4254d16bb4d6ee897dd3,
MANIFEST.in,changed,e1724ad85f3607914ac796ac06427e70bdb6a02198313fdfc28b67a186f5b605,e24a2cb9df7f33494ec25e7bc7b63f3c82ccea658dc2ead5d92f72d82c21c84b
PUBLIC_API.md,changed,027f2a20f12d21d1a8d93ce995f96c2f9418c4e23709e218084eb065303beb70,59fdb001ae15833f4f96b7a7641fcf2fbdc6687e03ef0b364c467c0cf6e81934
PUBLIC_EXCLUSIONS.md,added,eb175698d4f0092dd02a5258392c224454cc17a11281c77bf2ad6920d7772550,
pyproject.toml,changed,07e712fc5264e1a751129763b7be09385d7c1aa785dcae3996da029b28864afd,ad219c2b548f590754af1984d3f5a55fe9d6d631573681f8f6f1c863b8cb7570
README.md,changed,df709a1fe225dd93cea4eaa6bb2a18c0837fa7413efc8edacd2ba212c7859654,c8bcc97033d2ddf3083ca83670224e94067f8757bb0a386a561738da9569092c
RELEASE_NOTES.md,changed,1440e04ce1609d94bebeeaccf6654eda1d0899aab39f24e334905546c0f2a4ae,f70fe3a8a509a869852c7b247063eef1323aedff56ce5c3a3f8b0ac8116361a0
src/gpubma/bfg/shell_recovery.py,added,368a03e7a2212ef3e37f1284cc9e10b11ed9df79a8901089a4a48bd06142a136,
TEST_REPORT.md,added,0355ebd611219d504c35f24cbf785732132ae532589d38bf3dfc752ba83f8ba8,
tests/bfg/test_shell_recovery.py,added,dfde5b26821c4024e8bc0e7abd02cb6111b3a64ddeea9905521bfcfee8cab41a,
tests/test_exact_reference.py,added,a242b67023f4f15d785d19739dac0941eae1703b73e030d86b564b4f40bd81e3,
